Total Nacional;Municipios;Sexo;Periodo;Total
Total Nacional;01014 Berantevilla;Total;2024;468
Total Nacional;01014 Berantevilla;Total;2023;458
Total Nacional;01014 Berantevilla;Total;2022;457
Total Nacional;01014 Berantevilla;Total;2021;462
Total Nacional;01014 Berantevilla;Hombres;2025;246
Total Nacional;01014 Berantevilla;Hombres;2024;243
Total Nacional;01014 Berantevilla;Hombres;2023;239
Total Nacional;01014 Berantevilla;Hombres;2022;242
Total Nacional;01014 Berantevilla;Hombres;2021;240
Total Nacional;01014 Berantevilla;Mujeres;2025;229
Total Nacional;01014 Berantevilla;Mujeres;2024;225
Total Nacional;01014 Berantevilla;Mujeres;2023;219
Total Nacional;01014 Berantevilla;Mujeres;2022;215
Total Nacional;01014 Berantevilla;Mujeres;2021;222
Total Nacional;01016 Bernedo;Total;2025;541
Total Nacional;01016 Bernedo;Total;2024;544
Total Nacional;01016 Bernedo;Total;2023;539
Total Nacional;01016 Bernedo;Total;2022;560
Total Nacional;01016 Bernedo;Total;2021;539
Total Nacional;01016 Bernedo;Hombres;2025;314
Total Nacional;01016 Bernedo;Hombres;2024;318
Total Nacional;01016 Bernedo;Hombres;2023;321
Total Nacional;01016 Bernedo;Hombres;2022;319
Total Nacional;01016 Bernedo;Hombres;2021;315
Total Nacional;01016 Bernedo;Mujeres;2025;227
Total Nacional;01016 Bernedo;Mujeres;2024;226
Total Nacional;01016 Bernedo;Mujeres;2023;218
Total Nacional;01016 Bernedo;Mujeres;2022;241
Total Nacional;01016 Bernedo;Mujeres;2021;224
Total Nacional;01017 Campezo/Kanpezu;Total;2025;1.071
Total Nacional;01017 Campezo/Kanpezu;Total;2024;1.088
Total Nacional;01017 Campezo/Kanpezu;Total;2023;1.079
Total Nacional;01017 Campezo/Kanpezu;Total;2022;1.089
Total Nacional;01017 Campezo/Kanpezu;Total;2021;1.080
Total Nacional;01017 Campezo/Kanpezu;Hombres;2025;566
Total Nacional;01017 Campezo/Kanpezu;Hombres;2024;576
Total Nacional;01017 Campezo/Kanpezu;Hombres;2023;572
Total Nacional;01017 Campezo/Kanpezu;Hombres;2022;579
Total Nacional;01017 Campezo/Kanpezu;Hombres;2021;578
Total Nacional;01017 Campezo/Kanpezu;Mujeres;2025;505
Total Nacional;01017 Campezo/Kanpezu;Mujeres;2024;512
Total Nacional;01017 Campezo/Kanpezu;Mujeres;2023;507
Total Nacional;01017 Campezo/Kanpezu;Mujeres;2022;510
Total Nacional;01017 Campezo/Kanpezu;Mujeres;2021;502
Total Nacional;01018 Zigoitia;Total;2025;1.841
Total Nacional;01018 Zigoitia;Total;2024;1.845
Total Nacional;01018 Zigoitia;Total;2023;1.819
Total Nacional;01018 Zigoitia;Total;2022;1.820
Total Nacional;01018 Zigoitia;Total;2021;1.804
Total Nacional;01018 Zigoitia;Hombres;2025;985
Total Nacional;01018 Zigoitia;Hombres;2024;992
Total Nacional;01018 Zigoitia;Hombres;2023;973
Total Nacional;01018 Zigoitia;Hombres;2022;983
Total Nacional;01018 Zigoitia;Hombres;2021;974
Total Nacional;01018 Zigoitia;Mujeres;2025;856
Total Nacional;01018 Zigoitia;Mujeres;2024;853
Total Nacional;01018 Zigoitia;Mujeres;2023;846
Total Nacional;01018 Zigoitia;Mujeres;2022;837
Total Nacional;01018 Zigoitia;Mujeres;2021;830
Total Nacional;01019 Kripan;Total;2025;175
Total Nacional;01019 Kripan;Total;2024;178
Total Nacional;01019 Kripan;Total;2023;176
Total Nacional;01019 Kripan;Total;2022;176
Total Nacional;01019 Kripan;Total;2021;175
Total Nacional;01019 Kripan;Hombres;2025;93
Total Nacional;01019 Kripan;Hombres;2024;91
Total Nacional;01019 Kripan;Hombres;2023;93
Total Nacional;01019 Kripan;Hombres;2022;92
Total Nacional;01019 Kripan;Hombres;2021;91
Total Nacional;01019 Kripan;Mujeres;2025;82
Total Nacional;01019 Kripan;Mujeres;2024;87
Total Nacional;01019 Kripan;Mujeres;2023;83
Total Nacional;01019 Kripan;Mujeres;2022;84
