Total Nacional;Municipios;Sexo;Periodo;Total
Total Nacional;28086 Molar, El;Total;2023;9.781
Total Nacional;28086 Molar, El;Total;2022;9.437
Total Nacional;28086 Molar, El;Total;2021;9.305
Total Nacional;28086 Molar, El;Hombres;2025;4.990
Total Nacional;28086 Molar, El;Hombres;2024;5.097
Total Nacional;28086 Molar, El;Hombres;2023;4.965
Total Nacional;28086 Molar, El;Hombres;2022;4.778
Total Nacional;28086 Molar, El;Hombres;2021;4.723
Total Nacional;28086 Molar, El;Mujeres;2025;4.980
Total Nacional;28086 Molar, El;Mujeres;2024;4.982
Total Nacional;28086 Molar, El;Mujeres;2023;4.816
Total Nacional;28086 Molar, El;Mujeres;2022;4.659
Total Nacional;28086 Molar, El;Mujeres;2021;4.582
Total Nacional;28087 Molinos, Los;Total;2025;4.869
Total Nacional;28087 Molinos, Los;Total;2024;4.812
Total Nacional;28087 Molinos, Los;Total;2023;4.842
Total Nacional;28087 Molinos, Los;Total;2022;4.756
Total Nacional;28087 Molinos, Los;Total;2021;4.599
Total Nacional;28087 Molinos, Los;Hombres;2025;2.358
Total Nacional;28087 Molinos, Los;Hombres;2024;2.380
Total Nacional;28087 Molinos, Los;Hombres;2023;2.439
Total Nacional;28087 Molinos, Los;Hombres;2022;2.381
Total Nacional;28087 Molinos, Los;Hombres;2021;2.291
Total Nacional;28087 Molinos, Los;Mujeres;2025;2.511
Total Nacional;28087 Molinos, Los;Mujeres;2024;2.432
Total Nacional;28087 Molinos, Los;Mujeres;2023;2.403
Total Nacional;28087 Molinos, Los;Mujeres;2022;2.375
Total Nacional;28087 Molinos, Los;Mujeres;2021;2.308
Total Nacional;28088 Montejo de la Sierra;Total;2025;408
Total Nacional;28088 Montejo de la Sierra;Total;2024;374
Total Nacional;28088 Montejo de la Sierra;Total;2023;379
Total Nacional;28088 Montejo de la Sierra;Total;2022;373
Total Nacional;28088 Montejo de la Sierra;Total;2021;356
Total Nacional;28088 Montejo de la Sierra;Hombres;2025;211
Total Nacional;28088 Montejo de la Sierra;Hombres;2024;196
Total Nacional;28088 Montejo de la Sierra;Hombres;2023;195
Total Nacional;28088 Montejo de la Sierra;Hombres;2022;184
Total Nacional;28088 Montejo de la Sierra;Hombres;2021;183
Total Nacional;28088 Montejo de la Sierra;Mujeres;2025;197
Total Nacional;28088 Montejo de la Sierra;Mujeres;2024;178
Total Nacional;28088 Montejo de la Sierra;Mujeres;2023;184
Total Nacional;28088 Montejo de la Sierra;Mujeres;2022;189
Total Nacional;28088 Montejo de la Sierra;Mujeres;2021;173
Total Nacional;28089 Moraleja de Enmedio;Total;2025;5.646
Total Nacional;28089 Moraleja de Enmedio;Total;2024;5.630
Total Nacional;28089 Moraleja de Enmedio;Total;2023;5.506
Total Nacional;28089 Moraleja de Enmedio;Total;2022;5.423
Total Nacional;28089 Moraleja de Enmedio;Total;2021;5.336
Total Nacional;28089 Moraleja de Enmedio;Hombres;2025;2.850
Total Nacional;28089 Moraleja de Enmedio;Hombres;2024;2.836
Total Nacional;28089 Moraleja de Enmedio;Hombres;2023;2.781
Total Nacional;28089 Moraleja de Enmedio;Hombres;2022;2.727
Total Nacional;28089 Moraleja de Enmedio;Hombres;2021;2.679
Total Nacional;28089 Moraleja de Enmedio;Mujeres;2025;2.796
Total Nacional;28089 Moraleja de Enmedio;Mujeres;2024;2.794
Total Nacional;28089 Moraleja de Enmedio;Mujeres;2023;2.725
Total Nacional;28089 Moraleja de Enmedio;Mujeres;2022;2.696
Total Nacional;28089 Moraleja de Enmedio;Mujeres;2021;2.657
Total Nacional;28090 Moralzarzal;Total;2025;14.725
Total Nacional;28090 Moralzarzal;Total;2024;14.504
Total Nacional;28090 Moralzarzal;Total;2023;14.103
Total Nacional;28090 Moralzarzal;Total;2022;13.900
Total Nacional;28090 Moralzarzal;Total;2021;13.597
Total Nacional;28090 Moralzarzal;Hombres;2025;7.313
Total Nacional;28090 Moralzarzal;Hombres;2024;7.201
Total Nacional;28090 Moralzarzal;Hombres;2023;7.024
Total Nacional;28090 Moralzarzal;Hombres;2022;6.930
Total Nacional;28090 Moralzarzal;Hombres;2021;6.781
Total Nacional;28090 Moralzarzal;Mujeres;2025;7.412
Total Nacional;28090 Moralzarzal;Mujeres;2024;7.303
Total Nacional;28090 Moralzarzal;Mujeres;2023;7.079
Total Nacional;28090 Moralzarzal;Mujeres;2022;6.970
Total Nacional;28090 Moralzarzal;Mujeres;2021;6.816
Total Nacional;28091 Morata de Tajuña;Total;2025;8.394
Total Nacional;28091 Morata de Tajuña;Total;2024;8.294
Total Nacional;28091 Morata de Tajuña;Total;2023;8.085
Total Nacional;28091 Morata de Tajuña;Total;2022;7.958
Total Nacional;28091 Morata de Tajuña;Total;2021;7.908
Total Nacional;28091 Morata de Tajuña;Hombres;2025;4.211
Total Nacional;28091 Morata de Tajuña;Hombres;2024;4.175
Total Nacional;28091 Morata de Tajuña;Hombres;2023;4.084
Total Nacional;28091 Morata de Tajuña;Hombres;2022;4.010
Total Nacional;28091 Morata de Tajuña;Hombres;2021;4.001
Total Nacional;28091 Morata de Tajuña;Mujeres;2025;4.183
Total Nacional;28091 Morata de Tajuña;Mujeres;2024;4.119
Total Nacional;28091 Morata de Tajuña;Mujeres;2023;4.001
Total Nacional;28091 Morata de Tajuña;Mujeres;2022;3.948
Total Nacional;28091 Morata de Tajuña;Mujeres;2021;3.907
Total Nacional;28092 Móstoles;Total;2025;214.293
Total Nacional;28092 Móstoles;Total;2024;213.268
Total Nacional;28092 Móstoles;Total;2023;210.592
Total Nacional;28092 Móstoles;Total;2022;208.532
Total Nacional;28092 Móstoles;Total;2021;208.632
Total Nacional;28092 Móstoles;Hombres;2025;103.579
Total Nacional;28092 Móstoles;Hombres;2024;103.219
Total Nacional;28092 Móstoles;Hombres;2023;101.868
Total Nacional;28092 Móstoles;Hombres;2022;101.248
Total Nacional;28092 Móstoles;Hombres;2021;101.488
Total Nacional;28092 Móstoles;Mujeres;2025;110.714
Total Nacional;28092 Móstoles;Mujeres;2024;110.049
Total Nacional;28092 Móstoles;Mujeres;2023;108.724
Total Nacional;28092 Móstoles;Mujeres;2022;107.284
Total Nacional;28092 Móstoles;Mujeres;2021;107.144
Total Nacional;28093 Navacerrada;Total;2025;3.338
Total Nacional;28093 Navacerrada;Total;2024;3.307
Total Nacional;28093 Navacerrada;Total;2023;3.293
Total Nacional;28093 Navacerrada;Total;2022;3.234
Total Nacional;28093 Navacerrada;Total;2021;3.232
Total Nacional;28093 Navacerrada;Hombres;2025;1.648
Total Nacional;28093 Navacerrada;Hombres;2024;1.628
Total Nacional;28093 Navacerrada;Hombres;2023;1.611
Total Nacional;28093 Navacerrada;Hombres;2022;1.605
Total Nacional;28093 Navacerrada;Hombres;2021;1.625
Total Nacional;28093 Navacerrada;Mujeres;2025;1.690
Total Nacional;28093 Navacerrada;Mujeres;2024;1.679
Total Nacional;28093 Navacerrada;Mujeres;2023;1.682
Total Nacional;28093 Navacerrada;Mujeres;2022;1.629
Total Nacional;28093 Navacerrada;Mujeres;2021;1.607
Total Nacional;28094 Navalafuente;Total;2025;1.722
Total Nacional;28094 Navalafuente;Total;2024;1.703
Total Nacional;28094 Navalafuente;Total;2023;1.672
Total Nacional;28094 Navalafuente;Total;2022;1.605
Total Nacional;28094 Navalafuente;Total;2021;1.586
Total Nacional;28094 Navalafuente;Hombres;2025;891
Total Nacional;28094 Navalafuente;Hombres;2024;879
Total Nacional;28094 Navalafuente;Hombres;2023;852
Total Nacional;28094 Navalafuente;Hombres;2022;826
Total Nacional;28094 Navalafuente;Hombres;2021;816
Total Nacional;28094 Navalafuente;Mujeres;2025;831
Total Nacional;28094 Navalafuente;Mujeres;2024;824
Total Nacional;28094 Navalafuente;Mujeres;2023;820
Total Nacional;28094 Navalafuente;Mujeres;2022;779
Total Nacional;28094 Navalafuente;Mujeres;2021;770
Total Nacional;28095 Navalagamella;Total;2025;3.170
Total Nacional;28095 Navalagamella;Total;2024;3.119
Total Nacional;28095 Navalagamella;Total;2023;3.011
Total Nacional;28095 Navalagamella;Total;2022;2.844
Total Nacional;28095 Navalagamella;Total;2021;2.711
Total Nacional;28095 Navalagamella;Hombres;2025;1.619
Total Nacional;28095 Navalagamella;Hombres;2024;1.594
Total Nacional;28095 Navalagamella;Hombres;2023;1.549
Total Nacional;28095 Navalagamella;Hombres;2022;1.458
Total Nacional;28095 Navalagamella;Hombres;2021;1.395
Total Nacional;28095 Navalagamella;Mujeres;2025;1.551
Total Nacional;28095 Navalagamella;Mujeres;2024;1.525
Total Nacional;28095 Navalagamella;Mujeres;2023;1.462
Total Nacional;28095 Navalagamella;Mujeres;2022;1.386
Total Nacional;28095 Navalagamella;Mujeres;2021;1.316
Total Nacional;28096 Navalcarnero;Total;2025;33.352
Total Nacional;28096 Navalcarnero;Total;2024;32.684
Total Nacional;28096 Navalcarnero;Total;2023;31.955
Total Nacional;28096 Navalcarnero;Total;2022;31.359
Total Nacional;28096 Navalcarnero;Total;2021;30.696
Total Nacional;28096 Navalcarnero;Hombres;2025;16.567
Total Nacional;28096 Navalcarnero;Hombres;2024;16.238
Total Nacional;28096 Navalcarnero;Hombres;2023;15.892
Total Nacional;28096 Navalcarnero;Hombres;2022;15.591
Total Nacional;28096 Navalcarnero;Hombres;2021;15.293
Total Nacional;28096 Navalcarnero;Mujeres;2025;16.785
Total Nacional;28096 Navalcarnero;Mujeres;2024;16.446
Total Nacional;28096 Navalcarnero;Mujeres;2023;16.063
Total Nacional;28096 Navalcarnero;Mujeres;2022;15.768
Total Nacional;28096 Navalcarnero;Mujeres;2021;15.403
Total Nacional;28097 Navarredonda y San Mamés;Total;2025;165
Total Nacional;28097 Navarredonda y San Mamés;Total;2024;154
Total Nacional;28097 Navarredonda y San Mamés;Total;2023;153
Total Nacional;28097 Navarredonda y San Mamés;Total;2022;143
Total Nacional;28097 Navarredonda y San Mamés;Total;2021;141
Total Nacional;28097 Navarredonda y San Mamés;Hombres;2025;94
Total Nacional;28097 Navarredonda y San Mamés;Hombres;2024;94
Total Nacional;28097 Navarredonda y San Mamés;Hombres;2023;97
Total Nacional;28097 Navarredonda y San Mamés;Hombres;2022;90
Total Nacional;28097 Navarredonda y San Mamés;Hombres;2021;89
Total Nacional;28097 Navarredonda y San Mamés;Mujeres;2025;71
Total Nacional;28097 Navarredonda y San Mamés;Mujeres;2024;60
Total Nacional;28097 Navarredonda y San Mamés;Mujeres;2023;56
Total Nacional;28097 Navarredonda y San Mamés;Mujeres;2022;53
Total Nacional;28097 Navarredonda y San Mamés;Mujeres;2021;52
Total Nacional;28099 Navas del Rey;Total;2025;3.424
Total Nacional;28099 Navas del Rey;Total;2024;3.344
Total Nacional;28099 Navas del Rey;Total;2023;3.244
Total Nacional;28099 Navas del Rey;Total;2022;3.126
Total Nacional;28099 Navas del Rey;Total;2021;3.058
Total Nacional;28099 Navas del Rey;Hombres;2025;1.764
Total Nacional;28099 Navas del Rey;Hombres;2024;1.730
Total Nacional;28099 Navas del Rey;Hombres;2023;1.687
Total Nacional;28099 Navas del Rey;Hombres;2022;1.626
Total Nacional;28099 Navas del Rey;Hombres;2021;1.593
Total Nacional;28099 Navas del Rey;Mujeres;2025;1.660
Total Nacional;28099 Navas del Rey;Mujeres;2024;1.614
Total Nacional;28099 Navas del Rey;Mujeres;2023;1.557
Total Nacional;28099 Navas del Rey;Mujeres;2022;1.500
Total Nacional;28099 Navas del Rey;Mujeres;2021;1.465
Total Nacional;28100 Nuevo Baztán;Total;2025;7.494
Total Nacional;28100 Nuevo Baztán;Total;2024;7.393
Total Nacional;28100 Nuevo Baztán;Total;2023;7.126
Total Nacional;28100 Nuevo Baztán;Total;2022;6.890
Total Nacional;28100 Nuevo Baztán;Total;2021;6.678
Total Nacional;28100 Nuevo Baztán;Hombres;2025;3.779
Total Nacional;28100 Nuevo Baztán;Hombres;2024;3.732
Total Nacional;28100 Nuevo Baztán;Hombres;2023;3.612
Total Nacional;28100 Nuevo Baztán;Hombres;2022;3.538
Total Nacional;28100 Nuevo Baztán;Hombres;2021;3.434
Total Nacional;28100 Nuevo Baztán;Mujeres;2025;3.715
Total Nacional;28100 Nuevo Baztán;Mujeres;2024;3.661
Total Nacional;28100 Nuevo Baztán;Mujeres;2023;3.514
Total Nacional;28100 Nuevo Baztán;Mujeres;2022;3.352
Total Nacional;28100 Nuevo Baztán;Mujeres;2021;3.244
Total Nacional;28101 Olmeda de las Fuentes;Total;2025;434
Total Nacional;28101 Olmeda de las Fuentes;Total;2024;409
Total Nacional;28101 Olmeda de las Fuentes;Total;2023;405
Total Nacional;28101 Olmeda de las Fuentes;Total;2022;380
Total Nacional;28101 Olmeda de las Fuentes;Total;2021;365
Total Nacional;28101 Olmeda de las Fuentes;Hombres;2025;226
Total Nacional;28101 Olmeda de las Fuentes;Hombres;2024;213
Total Nacional;28101 Olmeda de las Fuentes;Hombres;2023;209
Total Nacional;28101 Olmeda de las Fuentes;Hombres;2022;197
Total Nacional;28101 Olmeda de las Fuentes;Hombres;2021;189
Total Nacional;28101 Olmeda de las Fuentes;Mujeres;2025;208
Total Nacional;28101 Olmeda de las Fuentes;Mujeres;2024;196
Total Nacional;28101 Olmeda de las Fuentes;Mujeres;2023;196
Total Nacional;28101 Olmeda de las Fuentes;Mujeres;2022;183
Total Nacional;28101 Olmeda de las Fuentes;Mujeres;2021;176
Total Nacional;28102 Orusco de Tajuña;Total;2025;1.535
Total Nacional;28102 Orusco de Tajuña;Total;2024;1.504
Total Nacional;28102 Orusco de Tajuña;Total;2023;1.422
Total Nacional;28102 Orusco de Tajuña;Total;2022;1.342
Total Nacional;28102 Orusco de Tajuña;Total;2021;1.291
Total Nacional;28102 Orusco de Tajuña;Hombres;2025;771
Total Nacional;28102 Orusco de Tajuña;Hombres;2024;774
Total Nacional;28102 Orusco de Tajuña;Hombres;2023;740
Total Nacional;28102 Orusco de Tajuña;Hombres;2022;703
Total Nacional;28102 Orusco de Tajuña;Hombres;2021;663
Total Nacional;28102 Orusco de Tajuña;Mujeres;2025;764
Total Nacional;28102 Orusco de Tajuña;Mujeres;2024;730
Total Nacional;28102 Orusco de Tajuña;Mujeres;2023;682
Total Nacional;28102 Orusco de Tajuña;Mujeres;2022;639
Total Nacional;28102 Orusco de Tajuña;Mujeres;2021;628
Total Nacional;28104 Paracuellos de Jarama;Total;2025;27.649
Total Nacional;28104 Paracuellos de Jarama;Total;2024;27.241
Total Nacional;28104 Paracuellos de Jarama;Total;2023;27.034
Total Nacional;28104 Paracuellos de Jarama;Total;2022;26.637
Total Nacional;28104 Paracuellos de Jarama;Total;2021;26.293
Total Nacional;28104 Paracuellos de Jarama;Hombres;2025;13.765
Total Nacional;28104 Paracuellos de Jarama;Hombres;2024;13.583
Total Nacional;28104 Paracuellos de Jarama;Hombres;2023;13.528
Total Nacional;28104 Paracuellos de Jarama;Hombres;2022;13.360
Total Nacional;28104 Paracuellos de Jarama;Hombres;2021;13.229
Total Nacional;28104 Paracuellos de Jarama;Mujeres;2025;13.884
Total Nacional;28104 Paracuellos de Jarama;Mujeres;2024;13.658
Total Nacional;28104 Paracuellos de Jarama;Mujeres;2023;13.506
Total Nacional;28104 Paracuellos de Jarama;Mujeres;2022;13.277
Total Nacional;28104 Paracuellos de Jarama;Mujeres;2021;13.064
Total Nacional;28106 Parla;Total;2025;138.012
Total Nacional;28106 Parla;Total;2024;134.876
Total Nacional;28106 Parla;Total;2023;132.842
Total Nacional;28106 Parla;Total;2022;130.218
Total Nacional;28106 Parla;Total;2021;130.550
Total Nacional;28106 Parla;Hombres;2025;68.332
Total Nacional;28106 Parla;Hombres;2024;66.873
Total Nacional;28106 Parla;Hombres;2023;66.003
Total Nacional;28106 Parla;Hombres;2022;64.786
Total Nacional;28106 Parla;Hombres;2021;65.001
Total Nacional;28106 Parla;Mujeres;2025;69.680
Total Nacional;28106 Parla;Mujeres;2024;68.003
Total Nacional;28106 Parla;Mujeres;2023;66.839
Total Nacional;28106 Parla;Mujeres;2022;65.432
Total Nacional;28106 Parla;Mujeres;2021;65.549
Total Nacional;28107 Patones;Total;2025;618
Total Nacional;28107 Patones;Total;2024;604
Total Nacional;28107 Patones;Total;2023;566
Total Nacional;28107 Patones;Total;2022;533
Total Nacional;28107 Patones;Total;2021;523
Total Nacional;28107 Patones;Hombres;2025;279
Total Nacional;28107 Patones;Hombres;2024;270
Total Nacional;28107 Patones;Hombres;2023;262
Total Nacional;28107 Patones;Hombres;2022;255
Total Nacional;28107 Patones;Hombres;2021;253
Total Nacional;28107 Patones;Mujeres;2025;339
Total Nacional;28107 Patones;Mujeres;2024;334
Total Nacional;28107 Patones;Mujeres;2023;304
Total Nacional;28107 Patones;Mujeres;2022;278
Total Nacional;28107 Patones;Mujeres;2021;270
Total Nacional;28108 Pedrezuela;Total;2025;6.604
Total Nacional;28108 Pedrezuela;Total;2024;6.475
Total Nacional;28108 Pedrezuela;Total;2023;6.391
Total Nacional;28108 Pedrezuela;Total;2022;6.295
Total Nacional;28108 Pedrezuela;Total;2021;6.168
Total Nacional;28108 Pedrezuela;Hombres;2025;3.343
Total Nacional;28108 Pedrezuela;Hombres;2024;3.267
Total Nacional;28108 Pedrezuela;Hombres;2023;3.233
Total Nacional;28108 Pedrezuela;Hombres;2022;3.166
Total Nacional;28108 Pedrezuela;Hombres;2021;3.091
Total Nacional;28108 Pedrezuela;Mujeres;2025;3.261
Total Nacional;28108 Pedrezuela;Mujeres;2024;3.208
Total Nacional;28108 Pedrezuela;Mujeres;2023;3.158
Total Nacional;28108 Pedrezuela;Mujeres;2022;3.129
Total Nacional;28108 Pedrezuela;Mujeres;2021;3.077
Total Nacional;28109 Pelayos de la Presa;Total;2025;3.192
Total Nacional;28109 Pelayos de la Presa;Total;2024;3.106
Total Nacional;28109 Pelayos de la Presa;Total;2023;2.962
Total Nacional;28109 Pelayos de la Presa;Total;2022;2.873
Total Nacional;28109 Pelayos de la Presa;Total;2021;2.814
Total Nacional;28109 Pelayos de la Presa;Hombres;2025;1.637
Total Nacional;28109 Pelayos de la Presa;Hombres;2024;1.572
Total Nacional;28109 Pelayos de la Presa;Hombres;2023;1.506
Total Nacional;28109 Pelayos de la Presa;Hombres;2022;1.455
Total Nacional;28109 Pelayos de la Presa;Hombres;2021;1.432
Total Nacional;28109 Pelayos de la Presa;Mujeres;2025;1.555
Total Nacional;28109 Pelayos de la Presa;Mujeres;2024;1.534
Total Nacional;28109 Pelayos de la Presa;Mujeres;2023;1.456
Total Nacional;28109 Pelayos de la Presa;Mujeres;2022;1.418
Total Nacional;28109 Pelayos de la Presa;Mujeres;2021;1.382
Total Nacional;28110 Perales de Tajuña;Total;2025;3.257
Total Nacional;28110 Perales de Tajuña;Total;2024;3.195
Total Nacional;28110 Perales de Tajuña;Total;2023;3.164
Total Nacional;28110 Perales de Tajuña;Total;2022;3.107
Total Nacional;28110 Perales de Tajuña;Total;2021;3.037
Total Nacional;28110 Perales de Tajuña;Hombres;2025;1.602
Total Nacional;28110 Perales de Tajuña;Hombres;2024;1.573
Total Nacional;28110 Perales de Tajuña;Hombres;2023;1.584
Total Nacional;28110 Perales de Tajuña;Hombres;2022;1.571
Total Nacional;28110 Perales de Tajuña;Hombres;2021;1.538
Total Nacional;28110 Perales de Tajuña;Mujeres;2025;1.655
Total Nacional;28110 Perales de Tajuña;Mujeres;2024;1.622
Total Nacional;28110 Perales de Tajuña;Mujeres;2023;1.580
Total Nacional;28110 Perales de Tajuña;Mujeres;2022;1.536
Total Nacional;28110 Perales de Tajuña;Mujeres;2021;1.499
Total Nacional;28111 Pezuela de las Torres;Total;2025;1.003
Total Nacional;28111 Pezuela de las Torres;Total;2024;990
Total Nacional;28111 Pezuela de las Torres;Total;2023;982
Total Nacional;28111 Pezuela de las Torres;Total;2022;933
Total Nacional;28111 Pezuela de las Torres;Total;2021;925
Total Nacional;28111 Pezuela de las Torres;Hombres;2025;534
Total Nacional;28111 Pezuela de las Torres;Hombres;2024;526
Total Nacional;28111 Pezuela de las Torres;Hombres;2023;514
Total Nacional;28111 Pezuela de las Torres;Hombres;2022;496
Total Nacional;28111 Pezuela de las Torres;Hombres;2021;496
Total Nacional;28111 Pezuela de las Torres;Mujeres;2025;469
Total Nacional;28111 Pezuela de las Torres;Mujeres;2024;464
Total Nacional;28111 Pezuela de las Torres;Mujeres;2023;468
Total Nacional;28111 Pezuela de las Torres;Mujeres;2022;437
Total Nacional;28111 Pezuela de las Torres;Mujeres;2021;429
Total Nacional;28112 Pinilla del Valle;Total;2025;200
Total Nacional;28112 Pinilla del Valle;Total;2024;199
Total Nacional;28112 Pinilla del Valle;Total;2023;204
Total Nacional;28112 Pinilla del Valle;Total;2022;198
Total Nacional;28112 Pinilla del Valle;Total;2021;196
Total Nacional;28112 Pinilla del Valle;Hombres;2025;105
Total Nacional;28112 Pinilla del Valle;Hombres;2024;107
Total Nacional;28112 Pinilla del Valle;Hombres;2023;108
Total Nacional;28112 Pinilla del Valle;Hombres;2022;106
Total Nacional;28112 Pinilla del Valle;Hombres;2021;106
Total Nacional;28112 Pinilla del Valle;Mujeres;2025;95
Total Nacional;28112 Pinilla del Valle;Mujeres;2024;92
Total Nacional;28112 Pinilla del Valle;Mujeres;2023;96
Total Nacional;28112 Pinilla del Valle;Mujeres;2022;92
Total Nacional;28112 Pinilla del Valle;Mujeres;2021;90
Total Nacional;28113 Pinto;Total;2025;56.592
Total Nacional;28113 Pinto;Total;2024;55.989
Total Nacional;28113 Pinto;Total;2023;55.178
Total Nacional;28113 Pinto;Total;2022;54.149
Total Nacional;28113 Pinto;Total;2021;53.625
Total Nacional;28113 Pinto;Hombres;2025;27.825
Total Nacional;28113 Pinto;Hombres;2024;27.540
Total Nacional;28113 Pinto;Hombres;2023;27.199
Total Nacional;28113 Pinto;Hombres;2022;26.766
Total Nacional;28113 Pinto;Hombres;2021;26.536
Total Nacional;28113 Pinto;Mujeres;2025;28.767
Total Nacional;28113 Pinto;Mujeres;2024;28.449
Total Nacional;28113 Pinto;Mujeres;2023;27.979
Total Nacional;28113 Pinto;Mujeres;2022;27.383
Total Nacional;28113 Pinto;Mujeres;2021;27.089
Total Nacional;28114 Piñuécar-Gandullas;Total;2025;184
Total Nacional;28114 Piñuécar-Gandullas;Total;2024;185
Total Nacional;28114 Piñuécar-Gandullas;Total;2023;178
Total Nacional;28114 Piñuécar-Gandullas;Total;2022;184
Total Nacional;28114 Piñuécar-Gandullas;Total;2021;184
Total Nacional;28114 Piñuécar-Gandullas;Hombres;2025;94
Total Nacional;28114 Piñuécar-Gandullas;Hombres;2024;98
Total Nacional;28114 Piñuécar-Gandullas;Hombres;2023;92
Total Nacional;28114 Piñuécar-Gandullas;Hombres;2022;96
Total Nacional;28114 Piñuécar-Gandullas;Hombres;2021;96
Total Nacional;28114 Piñuécar-Gandullas;Mujeres;2025;90
Total Nacional;28114 Piñuécar-Gandullas;Mujeres;2024;87
Total Nacional;28114 Piñuécar-Gandullas;Mujeres;2023;86
Total Nacional;28114 Piñuécar-Gandullas;Mujeres;2022;88
Total Nacional;28114 Piñuécar-Gandullas;Mujeres;2021;88
Total Nacional;28115 Pozuelo de Alarcón;Total;2025;89.474
Total Nacional;28115 Pozuelo de Alarcón;Total;2024;89.123
Total Nacional;28115 Pozuelo de Alarcón;Total;2023;88.504
Total Nacional;28115 Pozuelo de Alarcón;Total;2022;87.633
Total Nacional;28115 Pozuelo de Alarcón;Total;2021;87.080
Total Nacional;28115 Pozuelo de Alarcón;Hombres;2025;42.770
Total Nacional;28115 Pozuelo de Alarcón;Hombres;2024;42.623
Total Nacional;28115 Pozuelo de Alarcón;Hombres;2023;42.279
Total Nacional;28115 Pozuelo de Alarcón;Hombres;2022;41.930
Total Nacional;28115 Pozuelo de Alarcón;Hombres;2021;41.669
Total Nacional;28115 Pozuelo de Alarcón;Mujeres;2025;46.704
Total Nacional;28115 Pozuelo de Alarcón;Mujeres;2024;46.500
Total Nacional;28115 Pozuelo de Alarcón;Mujeres;2023;46.225
Total Nacional;28115 Pozuelo de Alarcón;Mujeres;2022;45.703
Total Nacional;28115 Pozuelo de Alarcón;Mujeres;2021;45.411
Total Nacional;28116 Pozuelo del Rey;Total;2025;1.312
Total Nacional;28116 Pozuelo del Rey;Total;2024;1.302
Total Nacional;28116 Pozuelo del Rey;Total;2023;1.276
Total Nacional;28116 Pozuelo del Rey;Total;2022;1.216
Total Nacional;28116 Pozuelo del Rey;Total;2021;1.214
Total Nacional;28116 Pozuelo del Rey;Hombres;2025;683
Total Nacional;28116 Pozuelo del Rey;Hombres;2024;683
Total Nacional;28116 Pozuelo del Rey;Hombres;2023;665
Total Nacional;28116 Pozuelo del Rey;Hombres;2022;633
Total Nacional;28116 Pozuelo del Rey;Hombres;2021;631
Total Nacional;28116 Pozuelo del Rey;Mujeres;2025;629
Total Nacional;28116 Pozuelo del Rey;Mujeres;2024;619
Total Nacional;28116 Pozuelo del Rey;Mujeres;2023;611
Total Nacional;28116 Pozuelo del Rey;Mujeres;2022;583
Total Nacional;28116 Pozuelo del Rey;Mujeres;2021;583
Total Nacional;28117 Prádena del Rincón;Total;2025;146
Total Nacional;28117 Prádena del Rincón;Total;2024;139
Total Nacional;28117 Prádena del Rincón;Total;2023;150
Total Nacional;28117 Prádena del Rincón;Total;2022;146
Total Nacional;28117 Prádena del Rincón;Total;2021;148
Total Nacional;28117 Prádena del Rincón;Hombres;2025;82
Total Nacional;28117 Prádena del Rincón;Hombres;2024;76
Total Nacional;28117 Prádena del Rincón;Hombres;2023;84
Total Nacional;28117 Prádena del Rincón;Hombres;2022;83
Total Nacional;28117 Prádena del Rincón;Hombres;2021;78
Total Nacional;28117 Prádena del Rincón;Mujeres;2025;64
Total Nacional;28117 Prádena del Rincón;Mujeres;2024;63
Total Nacional;28117 Prádena del Rincón;Mujeres;2023;66
Total Nacional;28117 Prádena del Rincón;Mujeres;2022;63
Total Nacional;28117 Prádena del Rincón;Mujeres;2021;70
Total Nacional;28118 Puebla de la Sierra;Total;2025;99
Total Nacional;28118 Puebla de la Sierra;Total;2024;93
Total Nacional;28118 Puebla de la Sierra;Total;2023;102
Total Nacional;28118 Puebla de la Sierra;Total;2022;85
Total Nacional;28118 Puebla de la Sierra;Total;2021;75
Total Nacional;28118 Puebla de la Sierra;Hombres;2025;60
Total Nacional;28118 Puebla de la Sierra;Hombres;2024;55
Total Nacional;28118 Puebla de la Sierra;Hombres;2023;59
Total Nacional;28118 Puebla de la Sierra;Hombres;2022;52
Total Nacional;28118 Puebla de la Sierra;Hombres;2021;48
Total Nacional;28118 Puebla de la Sierra;Mujeres;2025;39
Total Nacional;28118 Puebla de la Sierra;Mujeres;2024;38
Total Nacional;28118 Puebla de la Sierra;Mujeres;2023;43
Total Nacional;28118 Puebla de la Sierra;Mujeres;2022;33
Total Nacional;28118 Puebla de la Sierra;Mujeres;2021;27
Total Nacional;28119 Quijorna;Total;2025;4.014
Total Nacional;28119 Quijorna;Total;2024;3.987
Total Nacional;28119 Quijorna;Total;2023;3.856
Total Nacional;28119 Quijorna;Total;2022;3.683
Total Nacional;28119 Quijorna;Total;2021;3.589
Total Nacional;28119 Quijorna;Hombres;2025;1.973
Total Nacional;28119 Quijorna;Hombres;2024;1.969
Total Nacional;28119 Quijorna;Hombres;2023;1.907
Total Nacional;28119 Quijorna;Hombres;2022;1.852
Total Nacional;28119 Quijorna;Hombres;2021;1.805
Total Nacional;28119 Quijorna;Mujeres;2025;2.041
Total Nacional;28119 Quijorna;Mujeres;2024;2.018
Total Nacional;28119 Quijorna;Mujeres;2023;1.949
Total Nacional;28119 Quijorna;Mujeres;2022;1.831
Total Nacional;28119 Quijorna;Mujeres;2021;1.784
